Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
2360,"101.   Whispering produces a sound of: 

[AIIMS May 1993]",20-30 dB,30-40 dB,40-50 dB,"50-60 dB

mebooksfree.com

Review of Preventive and Social MedicineEnvironment and Health",,,
2361,"102.   Exposure  to  following  minimum  level  of  sound  can 
cause rupture of tympanic membrane, leading to perma-
nent hearing loss: 
[AIPGME 2000]",90 dB,110 dB,160 dB,1600 dB,,,
2362,"103.   An  upper  limit  of  noise  which  people  can  tolerate 
[Karnataka 2004]

without damage to their hearing is:",45 dB,65 dB,85 dB,105 dB,,,
2363,"104.   Exposure to noise above ……….. cause permanent loss 
[DNB 2007]

of hearing:",85 dB,90 dB,100 dB,"160 dB

Review Questions",,,
2364,105.   The decibels above which auditory fatigue occurs is:,,,85 dB,100 dB,,,
2365,111.   Upper limit of tolerance of noise/day is (decibel):,10,85,100,"125

LIGHT

[RJ 2004]",,,
2366,"112.   Recommended  illumination  range  for  regular  work  is 
[AIPGME 2001]

_______ foot-candles:",06-Dec,25-50,50-75,75-100,,,
2367,"113.   Day light factor in living room should be: 

[Recent Question 2013] [DNB June 2009]",60 dB,70 dB,85 dB,140 dB,,,
2368,106.   The ‘acceptable’ noise level is:,85 dB,90 dB,95 dB,"100 dB

[DNB 2003]

HOUSING

[UP 2006]
[Recent Question 2013]",,,
2369,"114.	  The	 optimum	 floor	 space	 recommended	 per	 adult	
[AIIMS Nov 1999]

person in a dwelling place is:",50–100 sq.ft.,101–450 sq.ft.,151–200 sq.ft.,201–250 sq.ft.,,,
2370,"107.   Pain in the ear occurs at: 

[Kolkata 2002]",80 dB,120 dB,140 dB,160 dB,,,
2371,"108.   Highest permissible intensity of sound is: 

[MP 2003]",65 dB,85 dB,90 dB,80 dB,,,
2372,"109.   Repeated  exposure  to_____  can  cause  permanent 
[MH 2002]

deafness is:",160 dB,60 dB,90 dB,100 dB,,,
2373,"115.	  The	 optimum	 floor	 space	 recommended	 per	 adult	
[Karnataka 2004]

person in a house",70–90 sq. ft.,101–150 sq.ft.,151–200 sq.ft.,"201–250 sq. ft.

WASTE DISPOSAL",,,
2374,"116.   All  of  the  following  are  methods  of  sewage  disposal 
[AIPGME 2006]

except:",River outfall,Land treatment,Oxidation ponds,Bangalore method (Composting),,,
2375,"117.   Waste water from kitchen is called: 

[AIIMS Dec 1997]

 110.  Upper limit of exposure to noise up to which there is no 
[Karnataka 2004, MH 2005]

damage to hearing?",Refuse,Garbage,Sullage,"Sewage

mebooksfree.com

699

Environment and HealthEnvironment and Health",,,
2376,"118.	  The	amount	of	sewage	flowing	in	a	system	in	24	hours	
[AIIMS Nov 2000]

is called:",Sewage rate,Dry weather flow,RCA index,Sludge,,,
2377,119.   A good trap should have effective seal of:,2.5 cm,5 cm,7.5 cm,"10 cm

[AIIMS May 1993]",,,
2378,"120.   All are features of septic tank except: 

[AIPGME 92]",Ideal retention period – 48 hrs,Minimum capacity – 500 gallons,Aerobic oxidation takes place outside,Sludge is solids setting down,,,
2379,"121.   Sullage consists of: 

[AIPGME 2002]",Solid vegetable waste matter,Inorganic waste,Waste containing human excreta,"Waste water from kitchen

[Recent Question 2013]",,,
2380,122.   Most satisfactory method of Refuse disposal is:,Dumping,Controlled tipping,Incineration,"Manure pits

[AIIMS May 1993-2003]
[AIPGME 1994]
[Bihar 2003]",,,
2381,123.   The depth of Water Seal in RCA Latrine is:,1 cm,2 cm,Borehole latrine,Septic tank,,,
2382,128.   Biochemical oxygen demand is calculated to know:,Organic waste,Inorganic waste,Total solids,Toxic substances,,,
2383,"129.   Following  are  the  waste  types  not  to  be  incinerated 
[Karnataka 2009]

except:",Pressurized gas containers,Reactive chemical waste,Halogenated plastics,Content of combustible matter above 60%,,,
2384,"130.   It waste water contain toxic substances, organic load is 
[Recent Question 2013]

measured by:",Biological oxygen demand,Chemical oxygen demand,Suspended solid,,,,
2385,131.   The heart of activated sludge process is:,Aeration tank,Primary sedimentation,Digestion tank,"Secondary sedimentation tank

[Recent Question 2012]",,,
2386,"132.    Septic tank true is/are:  

[PGI November 2014]",Treatment of household sewage,Suitable in presence of public sewerage system,Aerobic oxidation outside septic tank,Anaerobic digestion inside septic tank,Retention period 6 hours,,
2387,"124.   Strength of sewage is expressed in terms of all except:

 133.   True about Sewage is/are:  

[PGI November 2014]",E. Coli Count,Suspended particles,Chemical oxygen demand,"Biological oxygen demand

[AIPGME 2006]",,,
2388,125.   The biological oxygen demand (BOD) indicates:,Organic matter,Bacterial content,Anaerobic bacteria,Chemicals,"Dry weather flow is measured for 24 hours period

[AIPGME 2002, AIIMS June 2000]",,
2389,126.   Waste water without human excreta is called:,Sewage,Humus,Sullage,"Effluent

[DPG 2006, MH 2005, RJ 2005]",,,
2390,"127.   Following latrines are suitable for camps and temporary 
[Karnataka 2004]

use except:",Shallow trench latrine,"Pit latrine

Review Questions",,,,,
2391,"134.   The sewage ground water is disposed by: 

[DNB 2002]",Oxidation pond,Soakage pit,Activated sludge process,Any of the above,,,
2392,"135.   Not a feature of septic tank: 

[Bihar 2005]",Used for personal and small public use,Water tight compartment,Used where water supply is adequate,"Used where public sewerage system is adequate

700

mebooksfree.com

Review of Preventive and Social MedicineEnvironment and Health",,,
2393,"136.	  Trickling	filter	is	used	in:	

[UP 2000]",Primary treatment of sewage,Secondary treatment of sewage,Swage effluent treatment,Sewage farming treatment,,,
2394,"137.   Best  method  for  disposal  of  refuse  where  land  is 
[Kolkata 2008]

available:",Burial,Dumping,Manure pit,Controlled tipping,,,
2395,"145.   The permissible dose of man made radiation should not 
[Karnataka 2004]

exceed:",3 rads per year,5 rads per year,8 rads per year,10 rads per year,,,
2396,146.   10-days rule is related to:,Sewage disposal,Air quality,Water quality,"Radiation protection in pregnancy

 [Recent Question 2012]",,,
2397,"138.   Most important prerequisite in sanitary latrine is:

 147.  Unit of absorbed radiation is:",Roentgen,Rad,Rem,"Sievert

[Recent Question 2012]
[Recent Question 2013]",,,
2398,"139.   Septic tank true is: 

[MP 2004]

 148.  Thickness of lead apron of prevent radiation:",0.1 mm,0.2 mm,0.5 mm,"1 mm

[Recent Question 2012]",,,
2399,"140.   The function of grit chamber in modern sewage plants 
[MP 2008]

is:",Formation of sludge,Removal of floating large objects,Settlement of heavy objects,Formation of Zoogleal layer,,,
2400,141.   Strength of sewage is expressed in terms of all except:,Biological Oxygen Demand,Chemical oxygen demand,Suspended solids,"Coliform count 

[JIPMER 1985, TN 1993, MH 2006]",,,
2401,149.   Maximum solar radiation in India is received by:,Kerala,Jammu & Kashmir,Rajasthan,"Gujarat

[Recent Question 2013]",,,
2402,"150.    Acceptable safe dose of radiation during pregnancy is:
[Recent Question 2014]",1 rad,2 rads,5 rads,0.5 rads,,,
2403,"142.   Sullage in rural area is disposed by: 

[RJ 2001]

Review Questions",Gobar gas plant,Septic tank,Sewage system,Incineration,,,
2404,143.   Poliovirus transmission does not occur through:,Sewage,Sullage,Both,"None of these

MISCELLANEOUS (ENVIRONMENT)

[RJ 2005]",,,
2405,"151.   Venturimeter is used to measure: 

[Kolkata 2002]",Air velocity,Size of suspended particles in the air,SO2 content in the atmosphere,Bed resistance in a slow sand filter,,,
2406,"152.   Soiling index is a measure of: 

[MP 2003]
[Recent Question 2013, 2014, 2015]",Soil pollution,Water pollution,Noise pollution,Air pollution,,,
2407,"144.   Which of the following is not a recommended sanitation 

ENTOMOLOGY AND VECTOR CONTROL

measure for swimming pool sanitation?",Recommended area per swimmer = 2.2 sq. metre,"Water to be refiltered in less than 6 hours (rapid sand 
[AIIMS May 2005]

filters)",Residual level of free chlorine to be > 0.5 ppm,15% water to be replaced by fresh water every day,,,
2408,153.   Mites are the vectors of the following diseases except:,Scabies,Scrub typhus,Rickettsial pox,"Kyasanur forest disease

[AIIMS Nov 2003]

701

mebooksfree.com

Environment and HealthEnvironment and Health",,,
2409,154.   Pyrethrum is a:,Contact poison,Stomach poison,Both of above: a + b,"Space poison

[AIIMS Dec 1991]
[Recent Question 2013]",,,
2410,"155.   Match the following: Method of mosquito control 

Example
I.  Biological control 

II.  Biological control 

A.  Mosquito larvicidal oil

  [Larvivorous fish) (MLO]
thuringiensis 

B.  Bacillus 

(Bacteria) H14
III.  Chemical control 
C.  Source reduction
IV.  Environmental control  D.  Barbados millions","A-I, B-II, C-IV, D-III","A-III, B-IV, C-II, D-I","A-I, B-IV, C-II, D-III","A-III, B-II, C-IV, D-I

[AIIMS Nov 06]",,,
2411,156.   Mosquitoes that breed in dirty water collection are:,Anopheles,Culex,Aedes,Mansonia,,,
2412,157.   Lice are not the vectors of:,Relapsing fever,Q fever,Trench fever,"Epidemic typhus

[AIIMS Dec 1995]

[AIPGME 2007]
[AIIMS May 2006- 2007]",,,
2413,158.   Example of cyclopropagative transmission is:,Plague bacilli in rat flea,Malarial parasite in mosquito,Microfilaria in mosquito,"Guineaworm embryo in Cyclops

[AIPGME 2000]

[AIIMS May 1991]",,,
2414,159.   Which of the following is incorrectly matched?,"Agent changes in form and number: Cyclopropagative 
[AIPGME 1992]","Agent merely multiples in vector, but no change in 

transmission 

form: Propagative transmission","Agent  undergoes  only  development  but  no 
multiplication: Cyclodevelopmental transmission",Agent  transmitted  from  nymph  to  adult  vector:,,,
2415,162.   Reduviid bug is a vector for the transmission of:,Relapsing fever,Lyme’s disease,Scrub typhus,"Chagas’ disease

[AIPGME 1996, PGMCET 2015]
[Recent Question 2015]",,,
2416,"163.   Babesiosis is transmitted by: 

[AIPGME 1995]",Tick,Mites,Flea,Mosquito,,,
2417,"164.   Dengue fever is transmitted by: 

[AIPGME 1993]",Tiger mosquito,Jackal mosquito,Wolf mosquito,Lion mosquito,,,
2418,165.	  Which	of	the	following	flies	do	not	bite:,Sand fly,Housefly,Blackfly,"Tse tse fly

[AIIMS June 1999]",,,
2419,"166.	  Which	 of	 the	 following	 flies	 is	 found	 in	 cracks	 and	
[AIIMS May 2002]

crevices of walls during daytime:",Sand fly,Housefly,Blackfly,Tse tse fly,,,
2420,"167.   All  of  the  following  diseases  are  caused  by  Soft  Tick 
[AIPGME 2008]
[MH 2007]

except:",Tularemia,Q fever,Relapsing fever,KFD,,,
2421,"168.   Spot the wrongly matched pair of arthropod and disease 
[AIIMS Dec 1995]

transmitted:",Housefly – Poliomyelitis,Louse – Epidemic typhus,Itch mite – Scabies,"Black fly – Chagas Disease

Transovarial transmission",,,
2422,"169.   Best approach to control of arthropods is:

 160.  All of the following statements about mosquito are true 
[AIIMS Nov 2004]

except:",It is a definitive host in malaria,It is a definitive host in filaria,Its life cycle is completed in 3 weeks,The female can travel upto 3 kilometers,,,
2423,"161.   A  child  has  multiple  itchy  papular  lesions  on  the 
genitalia	 and	 fingers.	 Similar	 lesions	 are	 also	 seen	 in	
the  younger  brother.  Which  of  the  following  is  most 
possible diagnosis? 
[AIIMS Dec 1997]",Environmental control,Chemical control,Biological control,Genetic control,,,
2424,170.   Flight range for Aedes Mosquito is,10 meters,100 meters,400 meters,"11 km

[AIIMS Sep 1996]

[AIPGME 2000]",,,
2425,"171.   Normal life span of mosquitoes is: 

[AIPGME 2006]",2-3 days,5-7 days,8-34 days,"3-4 months

702

mebooksfree.com

Review of Preventive and Social MedicineEnvironment and Health",,,
2426,"172.   True about Paris green for mosquito control is:

 182.  Organophosphate insecticides are all except:",Dieldrin,Fenthion,Diazinon,Propoxur,"Lindane

[PGI Dec 03]",,
2427,"173.	  Sandfly	does	not	transmit:	

[AIIMS Nov 2007]",Kala-azar,Oriental sore,Oraya fever,Trench fever,,,
2428,174.	  Rat	flea	transmit	following	diseases	except:,Murine typhus,Pneumonic plague,Chiggerosis,Hymenolepis dimunita,,,
2429,175.   Drug of choice for Scabies is:,25% Benzyl benzoate,5% Permethrin,1% HCH,"5% Sulphur ointment 

[AIPGME 1995]

[AIIMS May 2003]",,,
2430,176.   Diseases associated with rodents include all except:,Leptospirosis,Rat Bite fever,Tularemia,"Oriental sore

[AIIMS May 2006]",,,
2431,"177.   All  of  the  following  methods  are  anti-larval  measures 
[AIPGME 2005]
[AIIMS Nov 2008]

except:",Intermittent irrigation,Paris green,Gambusia affinis,Pyrethrum,,,
2432,"178.   Scabies is transmitted by: 

[DPG 2007]",Mite,Tick,Louse,Rat flea,,,
2433,"179.   Aedes mosquito transmit the following diseases except:
[Karnataka 2008]",Yellow fever,Dengue fever,Chikungunya fever,Japanese encephalitis,,,
2434,180.   Aedes aegypti transmits following diseases:,Yellow fever,Dengue,Japanese encephalitis,Filriasis,Malaria,,
2435,181.   Disease transmitted by louse include:,Epidemic typhus,Endemic typhus,Trench fever,RMSF,"Scrub typhus

[PGI 1997]

[PGI June 02]
[PGI Dec 2008]",,
2436,"183.   Aedes aegepti transmits: 

[PGI June 04]",JE,KFD,Yellow fever,Filaria,Dengue,,
2437,"184.   Vector borne diseases are: 

[PGI June 04]",Syphilis,Typhus,Dengue,J.E.,HIV,,
2438,"185.   Chikungunya is transmitted by: 

[AIIMS May 2010]",Aedes,Culex,Mansonoides,Anopheles,,,
2439,186.   Not spread by louse:,Epidemic typhus,Q fever,Relapsing fever,"Trench fever

[AIIMS May 2010]",,,
2440,"187.   Aedes- True are A/E: 

[AIIMS May 2010]",Recurrent biters,Eggs can’t survive >1 wk without water,Transmits Dengue,"It takes 7-8 days to develop the parasite and transmit 

the disease",,,
2441,"188.   Hard  tick  is  the  vector  of  all  the  following  diseases 
[AIIMS Nov 2010]

except:",Relapsing fever,KFD,Indian tick typhus,Tularaemia,,,
2442,189.   Which of the following is not DDT-resistant?,Musca domestica,Phlebotamus,Culex mosquito,"Anopheles stephensi

[AIPGME 2011]",,,
2443,"190.   All of the following are deliberate measures of mosquito 
[AIPGME 2011]

control except:",Use of alkaline soap water in factory,Use of larvicidal agents,Community participation,"Use of bed-nets for mosquito

mebooksfree.com

703

Environment and HealthEnvironment and Health",,,
2444,"191.   Vectors do not transmit infection by: 

[AIPGME 2011]",Ingestion,Regurgitation,Rubbing,Contamination with body fluids,,,
2445,192.   Least toxic organophosphorus compound is:,DDT,Paris green,Malathion,"Parathion

[DPG 2011]",,,
2446,"193.   Which  of  the  following  statements  regarding  DDT  is 
[AIIMS May 2011]

false?",Pyrethrum has synergistic action,It is a contact poison,Immediately kills the prey,Residual effect lasts 18 months,,,
2447,194.   Following are larval control measures except?,DDT,Paris green,Gambusia fish,"Intermittent irrigation 

[AIIMS May 2011] 
[AIIMS November 2011]",,,
2448,"195.   Which of the following disease is transmitted globally 

by Anopheles, Culex and Aedes mosquitoes?",Malaria,Yellow fever,Dengue fever,"Filariasis

[AIPGME 2012]",,,
2449,"196.   Following  are  used  for  treatment  of  Scabies  in  India 
[PGI November 2011]

except:",Crotamiton lotion,Sulphur ointment,Tetmasol,Ivermectin,Rifampicin,,
